rev_name,input_format,parser_method,parse_output,parse_output_type
https://www.goodreads.com/review/show/2572722180,string_format,progress_dict_to_finish_date,None,<class 'NoneType'>
https://www.goodreads.com/review/show/2572722180,string_format,progress_dict_to_shelved_date,None,<class 'NoneType'>
https://www.goodreads.com/review/show/2572722180,bytes_format,review_soup_is_valid,True,<class 'bool'>
https://www.goodreads.com/review/show/2572722180,bytes_format,review_soup_to_date,Oct 24 2018,<class 'str'>
https://www.goodreads.com/review/show/2572722180,bytes_format,review_soup_to_book_title,Grounded (Up in the Air #3),<class 'str'>
https://www.goodreads.com/review/show/2572722180,bytes_format,review_soup_to_book_id,16139641,<class 'str'>
https://www.goodreads.com/review/show/2572722180,bytes_format,review_soup_to_rating,3,<class 'str'>
https://www.goodreads.com/review/show/2572722180,bytes_format,review_soup_to_reviewer_href,/user/show/27618930-tiffany-keys,<class 'str'>
https://www.goodreads.com/review/show/2572722180,bytes_format,progress_dict_to_start_date,None,<class 'NoneType'>
https://www.goodreads.com/review/show/2572722180,bytes_format,progress_dict_to_finish_date,None,<class 'NoneType'>
https://www.goodreads.com/review/show/2572722180,bytes_format,progress_dict_to_shelved_date,October 24 2018,<class 'str'>
